,price,location,"rooms[bed,bath]",SQm,type_p,description,link
22,"$167,988,571CLP($2,500,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '3']",67 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u547918
23,"$355,254,519CLP($2,530,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",140 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u551242
24,"$190,000,000CLP($2,920,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",65 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u549434
25,"$176,250,304CLP($2,930,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",60 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u550892
26,"$219,900,000CLP($1,840,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",119.30 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u548246
27,"$206,543,325CLP($2,290,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",90 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u548298
28,"$435,117,938CLP($1,960,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '4']",221.70 SqM ,House,3 Bedroom House for sale at Lo Barnechea,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-lo-barnechea-in-santiago-santiago-u552102
29,"$137,695,550CLP($3,190,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",43 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u550932
30,"$330,000,000CLP($1,710,000CLP/SqM)"," Mariquina, Valdivia, Los Rios, Chile","['6', '2']",192 SqM ,House,6 Bedroom House for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-valdivia-in-mariquina-los-rios-u546774
31,"$220,000,000CLP($587,000CLP/SqM)"," Mariquina, Valdivia, Los Rios, Chile","['8', '3']",374 SqM ,House,8 Bedroom House for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/8-bedroom-house-for-sale-at-valdivia-in-mariquina-los-rios-u546186
32,"$200,000,000CLP($998,000CLP/SqM)"," Mariquina, Valdivia, Los Rios, Chile","['6', '2']",200 SqM ,House,6 Bedroom House for sale at Valdivia,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-valdivia-in-mariquina-los-rios-u543044
