,price,location,"rooms[bed,bath]",SQm,type_p,description,link
552,"$109,881,048CLP($1,610,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '2']",68 SqM ,Apartment,2 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u547390
553,"$107,402,529CLP($1,620,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '2']",66 SqM ,Apartment,2 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u545394
554,"$380,039,718CLP($2,710,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['3', '2']",140 SqM ,House,3 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u546892
555,"$358,008,430CLP($2,150,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['5', '2']",166 SqM ,House,5 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548204
556,"$187,265,948CLP($929,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['6', '4']",201 SqM ,House,6 Bedroom House for sale at Huechuraba,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-huechuraba-in-santiago-santiago-u549604
557,"$190,000,000CLP($687,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['8', '4']",276 SqM ,House,8 Bedroom House for sale at Quinta Normal,https://www.fazwaz.cl/en/property-sales/8-bedroom-house-for-sale-at-quinta-normal-in-santiago-santiago-u552534
558,"$99,003,100CLP($1,230,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '1']",80 SqM ,House,2 Bedroom House for sale at Quinta Normal,https://www.fazwaz.cl/en/property-sales/2-bedroom-house-for-sale-at-quinta-normal-in-santiago-santiago-u543950
559,"$198,281,592CLP($1,880,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['3', '2']",105 SqM ,House,3 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547574
560,"$100,000,000CLP($959,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['7', '3']",104 SqM ,House,7 Bedroom House for sale at Huechuraba,https://www.fazwaz.cl/en/property-sales/7-bedroom-house-for-sale-at-huechuraba-in-santiago-santiago-u548100
561,"$179,004,215CLP($1,980,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['3', '2']",90 SqM ,Apartment,3 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u547298
562,"$158,900,664CLP($834,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",190 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u546106
563,"$165,234,660CLP($1,410,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['5', '3']",117 SqM ,House,5 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u543756
564,"$358,008,430CLP($850,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['7', '7']",420 SqM ,House,7 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/7-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547242
565,"$330,469,320CLP($1,960,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['3', '3']",168 SqM ,House,3 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547708
566,"$70,224,730CLP($934,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '2']",75 SqM ,Apartment,2 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u547006
567,"$134,941,639CLP($2,010,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['3', '2']",67 SqM ,House,3 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547956
568,"$194,811,664CLP($1,480,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '2']",131 SqM ,House,2 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548296
569,"$206,543,325CLP($2,750,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '1']",75 SqM ,House,2 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547890
570,"$212,051,147CLP($1,760,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",120 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u547404
571,"$267,129,367CLP($2,320,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '4']",115 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u546984
572,"$85,000,000CLP($606,000CLP/SqM)"," Casa Blanca, Valparaiso, Valparaiso, Chile","['7', '2']",140 SqM ,House,7 Bedroom House for sale at Algarrobo,https://www.fazwaz.cl/en/property-sales/7-bedroom-house-for-sale-at-algarrobo-in-casa-blanca-valparaiso-u548546
573,"$344,238,875CLP($2,450,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",140 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u547162
574,"$316,699,765CLP($1,500,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['5', '3']",210 SqM ,House,5 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548076
575,"$440,625,760CLP($879,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['10', '6']",500 SqM ,House,10 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/10-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u547688
576,"$371,777,985CLP($1,850,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['5', '4']",200 SqM ,House,5 Bedroom House for sale at Las Condes,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-las-condes-in-san-jode-de-maipo-santiago-u552252
577,"$853,712,410CLP($3,010,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['5', '5']",283 SqM ,House,5 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547288
578,"$344,238,875CLP($2,450,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",140 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548108
579,"$343,963,483CLP($2,450,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '4']",140 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548434
580,"$382,793,629CLP($2,730,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '4']",140 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u546848
581,"$826,173,300CLP($3,430,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['5', '3']",240 SqM ,House,5 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548010
582,"$234,082,435CLP($1,670,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",140 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u547292
583,"$465,410,959CLP($1,410,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['6', '3']",330 SqM ,House,6 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u545832
584,"$346,992,786CLP($1,150,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['5', '4']",300 SqM ,House,5 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u547742
585,"$140,000,000CLP($846,000CLP/SqM)"," Puente Alto, Cordillera, Santiago, Chile","['4', '1']",165 SqM ,House,4 Bedroom House for sale at Santiago,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-santiago-in-puente-alto-santiago-u549790
586,"$206,543,325CLP($1,720,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '2']",120 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u546180
587,"$280,898,922CLP($1,750,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '2']",160 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548252
588,"$280,898,922CLP($2,080,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",135 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u543764
589,"$550,782,200CLP($1,830,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['6', '4']",300 SqM ,House,6 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u544030
590,"$123,925,995CLP($1,820,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '2']",68 SqM ,Apartment,2 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u546878
591,"$190,019,859CLP($3,210,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '1']",59 SqM ,Apartment,2 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u546344
592,"$192,883,926CLP($1,600,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['3', '2']",120 SqM ,House,3 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547730
593,"$145,378,961CLP($1,790,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '1']",81 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548176
594,"$275,391,100CLP($3,020,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['3', '2']",91 SqM ,Apartment,3 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u546018
595,"$300,176,299CLP($1,580,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '4']",190 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547060
596,"$283,652,833CLP($3,670,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '1']",77 SqM ,House,2 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547468
597,"$550,782,200CLP($1,830,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['6', '4']",300 SqM ,House,6 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u530062
598,"$462,657,048CLP($1,850,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '2']",250 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547486
599,"$374,531,896CLP($1,130,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['5', '4']",330 SqM ,House,5 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u547000
600,"$826,173,300CLP($2,700,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['7', '7']",305 SqM ,House,7 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/7-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547074
601,"$1,988,323,742CLP($3,970,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['6', '2']",500 SqM ,House,6 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548188
602,"$1,325,897,990CLP($1,070,000CLP/SqM)"," Puente Alto, Cordillera, Santiago, Chile","['9', '4']","1,232.01 SqM ",House,9 Bedroom House for sale at Santiago,https://www.fazwaz.cl/en/property-sales/9-bedroom-house-for-sale-at-santiago-in-puente-alto-santiago-u550764
603,"$179,004,215CLP($1,050,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['3', '2']",170 SqM ,House,3 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u546434
604,"$98,892,944CLP($809,000CLP/SqM)"," Puente Alto, Cordillera, Santiago, Chile","['3', '1']",122 SqM ,House,3 Bedroom House for sale at Santiago,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-santiago-in-puente-alto-santiago-u548158
605,"$298,110,865CLP($1,980,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['3', '2']",150 SqM ,House,3 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u551328
606,"$256,113,723CLP($1,850,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '2']",138 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u545734
607,"$481,934,425CLP($1,850,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['6', '4']",260 SqM ,House,6 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547734
608,"$481,934,425CLP($1,850,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['6', '4']",260 SqM ,House,6 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548350
609,"$688,477,750CLP($2,120,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '4']",324 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548148
610,"$702,247,305CLP($1,950,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '4']",360 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u546866
611,"$269,883,278CLP($1,980,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",136 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u546944
612,"$233,807,043CLP($2,120,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['3', '2']",110 SqM ,House,3 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u550434
613,"$80,500,000,000CLP($894,000,000CLP/SqM)"," La Serena, Elqui, Coquimbo, Chile","['3', '3']",90 SqM ,Apartment,3 Bedroom Apartment for sale at Avenida Del Mar,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-avenida-del-mar-in-la-serena-coquimbo-u572782
614,"$426,856,205CLP($1,940,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",220 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u546960
615,"$269,000,000CLP($2,160,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['3', '2']",124 SqM ,House,3 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u549880
616,"$352,500,608CLP($2,020,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",174 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u546918
617,"$757,325,525CLP($2,520,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['5', '5']",300 SqM ,House,5 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547402
618,"$275,115,708CLP($2,030,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",135 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u546638
619,"$96,386,885CLP($2,050,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['2', '1']",47 SqM ,Apartment,2 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u545440
620,"$427,000,000,000CLP($1,040,000,000CLP/SqM)"," Iquique, Iquique, Tarapaca, Chile","['5', '6']",410 SqM ,House,5 Bedroom House for sale in Chile,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-in-iquique-tarapaca-u573066
621,"$385,547,540CLP($3,210,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['3', '3']",120 SqM ,Apartment,3 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u547276
622,"$440,625,760CLP($2,000,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '4']",220 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u548274
623,"$480,000,000CLP($2,080,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['5', '4']",230 SqM ,House,5 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u549076
624,"$520,489,179CLP($2,080,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['6', '5']",250 SqM ,House,6 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u546580
625,"$302,930,210CLP($2,160,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",140 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u545910
626,"$225,000,000CLP($1,650,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['3', '3']",136 SqM ,House,3 Bedroom House for sale at Penalolen,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-penalolen-in-san-jode-de-maipo-santiago-u547706
627,"$267,129,367CLP($2,220,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",120 SqM ,Apartment,4 Bedroom Apartment for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-puchuncavi-in-quintero-valparaiso-u547244
628,"$302,930,210CLP($2,160,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",140 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u546952
629,"$327,715,409CLP($2,180,000CLP/SqM)"," Quintero, Valparaiso, Valparaiso, Chile","['4', '3']",150 SqM ,House,4 Bedroom House for sale at Puchuncavi,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-puchuncavi-in-quintero-valparaiso-u547382
630,"$749,063,792CLP($2,590,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['4', '3']",288 SqM ,House,4 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u551262
631,"$82,341,938CLP($874,000CLP/SqM)"," Puchuncavi, Valparaiso, Valparaiso, Chile","['4', '2']",94 SqM ,House,4 Bedroom House for sale at Zapallar,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-zapallar-in-puchuncavi-valparaiso-u547586
632,"$223,066,791CLP($1,940,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['2', '2']",115 SqM ,House,2 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/2-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u549820
633,"$206,543,325CLP($1,140,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['5', '3']",180 SqM ,House,5 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u547250
634,"$120,000,000CLP($1,500,000CLP/SqM)"," Casa Blanca, Valparaiso, Valparaiso, Chile","['3', '2']",80 SqM ,House,3 Bedroom House for sale at Algarrobo,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-algarrobo-in-casa-blanca-valparaiso-u546978
635,"$346,992,786CLP($2,470,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['4', '2']",140 SqM ,House,4 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u551026
636,"$155,000,000CLP($2,420,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['3', '1']",64 SqM ,House,3 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u549368
637,"$374,256,504CLP($2,020,000CLP/SqM)"," Colina, Chacabuco, Santiago, Chile","['4', '4']",185 SqM ,House,4 Bedroom House for sale at Colina,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-colina-in-colina-santiago-u548266
638,"$290,000,000CLP($827,000CLP/SqM)"," Puente Alto, Cordillera, Santiago, Chile","['4', '2']",350 SqM ,House,4 Bedroom House for sale at Santiago,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-santiago-in-puente-alto-santiago-u549584
639,"$64,028,430CLP($900,000CLP/SqM)"," Osorno, Osorno, Los Lagos, Chile","['3', '2']",71 SqM ,House,3 Bedroom House for sale at Osorno,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-osorno-in-osorno-los-lagos-u546092
640,"$399,317,095CLP($1,320,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['4', '3']",300.98 SqM ,House,4 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u545364
641,"$399,317,095CLP($996,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['5', '4']",400 SqM ,House,5 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u547294
642,"$826,173,300CLP($4,660,000CLP/SqM)"," San Jode De Maipo, Cordillera, Santiago, Chile","['3', '4']",177 SqM ,House,3 Bedroom House for sale at Nunoa,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-nunoa-in-san-jode-de-maipo-santiago-u549598
643,"$250,000,000CLP($713,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['6', '3']",350 SqM ,House,6 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u547690
644,"$426,856,205CLP($1,940,000CLP/SqM)"," Santo Domingo, San Antonio, Valparaiso, Chile","['4', '4']",220 SqM ,House,4 Bedroom House for sale at Santo Domingo,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-santo-domingo-in-santo-domingo-valparaiso-u544426
645,"$289,160,655CLP($562,000CLP/SqM)"," Maria Pinto, Melipilla, Santiago, Chile","['7', '5']",513 SqM ,House,7 Bedroom House for sale at Casablanca,https://www.fazwaz.cl/en/property-sales/7-bedroom-house-for-sale-at-casablanca-in-maria-pinto-santiago-u546506
